"disaster_number","declaration_date","state","declaration_type","incident_type","declaration_title","incident_begin_date","incident_end_date","designated_area"
5662,"2026-08-04","CA","FM","Fire","GANN FIRE","2026-08-04","","Calaveras (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Fillmore (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Lewis (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Webster (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Colville Indian Reservation"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Howard (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Spokane Indian Reservation"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Nodaway (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Greene (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Grundy (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Vernon (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Cape Girardeau (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Wayne (County)"
4931,"2026-08-03","MP","DR","Typhoon","SUPER TYPHOON BAVI","2026-07-04","2026-07-12","Tinian (Municipality)"
